County,Sex,Year,Statistic,Value
Donegal,Both sexes,2013,Median Annual Earnings (Euro),27720
Donegal,Both sexes,2014,Mean Annual Earnings (Euro),32223
Donegal,Both sexes,2014,Median Annual Earnings (Euro),28070
Donegal,Both sexes,2015,Mean Annual Earnings (Euro),32557
Donegal,Both sexes,2015,Median Annual Earnings (Euro),28301
Donegal,Both sexes,2016,Mean Annual Earnings (Euro),32232
Donegal,Both sexes,2016,Median Annual Earnings (Euro),28057
Donegal,Both sexes,2017,Mean Annual Earnings (Euro),32600
Donegal,Both sexes,2017,Median Annual Earnings (Euro),28369
Donegal,Both sexes,2018,Mean Annual Earnings (Euro),33776
Donegal,Both sexes,2018,Median Annual Earnings (Euro),29298
Donegal,Male,2011,Mean Annual Earnings (Euro),35027
Donegal,Male,2011,Median Annual Earnings (Euro),29835
Donegal,Male,2012,Mean Annual Earnings (Euro),34732
Donegal,Male,2012,Median Annual Earnings (Euro),29323
Donegal,Male,2013,Mean Annual Earnings (Euro),34369
Donegal,Male,2013,Median Annual Earnings (Euro),28954
Donegal,Male,2014,Mean Annual Earnings (Euro),34677
Donegal,Male,2014,Median Annual Earnings (Euro),29276
Donegal,Male,2015,Mean Annual Earnings (Euro),35117
Donegal,Male,2015,Median Annual Earnings (Euro),29592
Donegal,Male,2016,Mean Annual Earnings (Euro),34716
Donegal,Male,2016,Median Annual Earnings (Euro),29437
Donegal,Male,2017,Mean Annual Earnings (Euro),35012
Donegal,Male,2017,Median Annual Earnings (Euro),29711
Donegal,Male,2018,Mean Annual Earnings (Euro),36373
Donegal,Male,2018,Median Annual Earnings (Euro),30635
Donegal,Female,2011,Mean Annual Earnings (Euro),29559
Donegal,Female,2011,Median Annual Earnings (Euro),25692
Donegal,Female,2012,Mean Annual Earnings (Euro),29880
Donegal,Female,2012,Median Annual Earnings (Euro),26000
Donegal,Female,2013,Mean Annual Earnings (Euro),30066
Donegal,Female,2013,Median Annual Earnings (Euro),26333
Donegal,Female,2014,Mean Annual Earnings (Euro),30116
Donegal,Female,2014,Median Annual Earnings (Euro),26835
Donegal,Female,2015,Mean Annual Earnings (Euro),30344
Donegal,Female,2015,Median Annual Earnings (Euro),26813
Donegal,Female,2016,Mean Annual Earnings (Euro),29990
Donegal,Female,2016,Median Annual Earnings (Euro),26406
Donegal,Female,2017,Mean Annual Earnings (Euro),30398
Donegal,Female,2017,Median Annual Earnings (Euro),26640
Donegal,Female,2018,Mean Annual Earnings (Euro),31356
Donegal,Female,2018,Median Annual Earnings (Euro),27482
Monaghan,Both sexes,2011,Mean Annual Earnings (Euro),32668
Monaghan,Both sexes,2011,Median Annual Earnings (Euro),27842
Monaghan,Both sexes,2012,Mean Annual Earnings (Euro),32716
Monaghan,Both sexes,2012,Median Annual Earnings (Euro),28061
Monaghan,Both sexes,2013,Mean Annual Earnings (Euro),32743
Monaghan,Both sexes,2013,Median Annual Earnings (Euro),27920
Monaghan,Both sexes,2014,Mean Annual Earnings (Euro),32718
Monaghan,Both sexes,2014,Median Annual Earnings (Euro),28153
Monaghan,Both sexes,2015,Mean Annual Earnings (Euro),32902
Monaghan,Both sexes,2015,Median Annual Earnings (Euro),28478
Monaghan,Both sexes,2016,Mean Annual Earnings (Euro),32851
Monaghan,Both sexes,2016,Median Annual Earnings (Euro),28836
Monaghan,Both sexes,2017,Mean Annual Earnings (Euro),33614
Monaghan,Both sexes,2017,Median Annual Earnings (Euro),29413
Monaghan,Both sexes,2018,Mean Annual Earnings (Euro),34685
Monaghan,Both sexes,2018,Median Annual Earnings (Euro),30256
Monaghan,Male,2011,Mean Annual Earnings (Euro),35312
Monaghan,Male,2011,Median Annual Earnings (Euro),29675
Monaghan,Male,2012,Mean Annual Earnings (Euro),35241
Monaghan,Male,2012,Median Annual Earnings (Euro),29734
Monaghan,Male,2013,Mean Annual Earnings (Euro),35203
Monaghan,Male,2013,Median Annual Earnings (Euro),29609
Monaghan,Male,2014,Mean Annual Earnings (Euro),35106
Monaghan,Male,2014,Median Annual Earnings (Euro),29504
Monaghan,Male,2015,Mean Annual Earnings (Euro),35017
Monaghan,Male,2015,Median Annual Earnings (Euro),29608
Monaghan,Male,2016,Mean Annual Earnings (Euro),35105
Monaghan,Male,2016,Median Annual Earnings (Euro),30337
Monaghan,Male,2017,Mean Annual Earnings (Euro),36039
Monaghan,Male,2017,Median Annual Earnings (Euro),31071
Monaghan,Male,2018,Mean Annual Earnings (Euro),37257
Monaghan,Male,2018,Median Annual Earnings (Euro),31927
Monaghan,Female,2011,Mean Annual Earnings (Euro),30310
Monaghan,Female,2011,Median Annual Earnings (Euro),25986
Monaghan,Female,2012,Mean Annual Earnings (Euro),30483
Monaghan,Female,2012,Median Annual Earnings (Euro),26257
Monaghan,Female,2013,Mean Annual Earnings (Euro),30535
Monaghan,Female,2013,Median Annual Earnings (Euro),26116
Monaghan,Female,2014,Mean Annual Earnings (Euro),30467
Monaghan,Female,2014,Median Annual Earnings (Euro),26652
Monaghan,Female,2015,Mean Annual Earnings (Euro),30909
Monaghan,Female,2015,Median Annual Earnings (Euro),26862
Monaghan,Female,2016,Mean Annual Earnings (Euro),30571
Monaghan,Female,2016,Median Annual Earnings (Euro),26763
Monaghan,Female,2017,Mean Annual Earnings (Euro),31106
Monaghan,Female,2017,Median Annual Earnings (Euro),26987
Monaghan,Female,2018,Mean Annual Earnings (Euro),32039
Monaghan,Female,2018,Median Annual Earnings (Euro),27494
