County,Type of School,Year,Statistic,Value
All Counties,Second level education institutions aided by the Department of Education and Skills,2000,Schools providing Second Level Education  (Number),752
All Counties,Second level education institutions aided by the Department of Education and Skills,2000,Pupils receiving Second Level Education (Number),353860
All Counties,Second level education institutions aided by the Department of Education and Skills,2001,Schools providing Second Level Education  (Number),751
All Counties,Second level education institutions aided by the Department of Education and Skills,2001,Pupils receiving Second Level Education (Number),345384
All Counties,Second level education institutions aided by the Department of Education and Skills,2002,Schools providing Second Level Education  (Number),750
All Counties,Second level education institutions aided by the Department of Education and Skills,2002,Pupils receiving Second Level Education (Number),340078
All Counties,Second level education institutions aided by the Department of Education and Skills,2003,Schools providing Second Level Education  (Number),746
All Counties,Second level education institutions aided by the Department of Education and Skills,2003,Pupils receiving Second Level Education (Number),339231
All Counties,Second level education institutions aided by the Department of Education and Skills,2004,Schools providing Second Level Education  (Number),743
All Counties,Second level education institutions aided by the Department of Education and Skills,2004,Pupils receiving Second Level Education (Number),337851
All Counties,Second level education institutions aided by the Department of Education and Skills,2005,Schools providing Second Level Education  (Number),742
All Counties,Second level education institutions aided by the Department of Education and Skills,2005,Pupils receiving Second Level Education (Number),335162
All Counties,Second level education institutions aided by the Department of Education and Skills,2006,Schools providing Second Level Education  (Number),735
All Counties,Second level education institutions aided by the Department of Education and Skills,2006,Pupils receiving Second Level Education (Number),332407
All Counties,Second level education institutions aided by the Department of Education and Skills,2007,Schools providing Second Level Education  (Number),732
All Counties,Second level education institutions aided by the Department of Education and Skills,2007,Pupils receiving Second Level Education (Number),333718
All Counties,Second level education institutions aided by the Department of Education and Skills,2008,Schools providing Second Level Education  (Number),731
All Counties,Second level education institutions aided by the Department of Education and Skills,2008,Pupils receiving Second Level Education (Number),335123
All Counties,Second level education institutions aided by the Department of Education and Skills,2009,Schools providing Second Level Education  (Number),732
All Counties,Second level education institutions aided by the Department of Education and Skills,2009,Pupils receiving Second Level Education (Number),341312
All Counties,Second level education institutions aided by the Department of Education and Skills,2010,Schools providing Second Level Education  (Number),730
All Counties,Second level education institutions aided by the Department of Education and Skills,2010,Pupils receiving Second Level Education (Number),350687
All Counties,Second level education institutions aided by the Department of Education and Skills,2011,Schools providing Second Level Education  (Number),729
All Counties,Second level education institutions aided by the Department of Education and Skills,2011,Pupils receiving Second Level Education (Number),356107
All Counties,Second level education institutions aided by the Department of Education and Skills,2012,Schools providing Second Level Education  (Number),723
All Counties,Second level education institutions aided by the Department of Education and Skills,2012,Pupils receiving Second Level Education (Number),359047
All Counties,Second level education institutions aided by the Department of Education and Skills,2013,Schools providing Second Level Education  (Number),721
All Counties,Second level education institutions aided by the Department of Education and Skills,2013,Pupils receiving Second Level Education (Number),362847
All Counties,Second level education institutions aided by the Department of Education and Skills,2014,Schools providing Second Level Education  (Number),723
All Counties,Second level education institutions aided by the Department of Education and Skills,2014,Pupils receiving Second Level Education (Number),367178
All Counties,Second level education institutions aided by the Department of Education and Skills,2015,Schools providing Second Level Education  (Number),732
All Counties,Second level education institutions aided by the Department of Education and Skills,2015,Pupils receiving Second Level Education (Number),372296
All Counties,Second level education institutions aided by the Department of Education and Skills,2016,Schools providing Second Level Education  (Number),735
All Counties,Second level education institutions aided by the Department of Education and Skills,2016,Pupils receiving Second Level Education (Number),378003
All Counties,Second level education institutions aided by the Department of Education and Skills,2017,Schools providing Second Level Education  (Number),711
All Counties,Second level education institutions aided by the Department of Education and Skills,2017,Pupils receiving Second Level Education (Number),352257
All Counties,Second level education institutions aided by the Department of Education and Skills,2018,Schools providing Second Level Education  (Number),715
All Counties,Second level education institutions aided by the Department of Education and Skills,2018,Pupils receiving Second Level Education (Number),357408
All Counties,Second level education institutions aided by the Department of Education and Skills,2019,Schools providing Second Level Education  (Number),722
All Counties,Second level education institutions aided by the Department of Education and Skills,2019,Pupils receiving Second Level Education (Number),362899
All Counties,Second level education institutions aided by the Department of Education and Skills,2020,Schools providing Second Level Education  (Number),723
All Counties,Second level education institutions aided by the Department of Education and Skills,2020,Pupils receiving Second Level Education (Number),371450
All Counties,Secondary schools,2000,Schools providing Second Level Education  (Number),424
All Counties,Secondary schools,2000,Pupils receiving Second Level Education (Number),203418
All Counties,Secondary schools,2001,Schools providing Second Level Education  (Number),419
All Counties,Secondary schools,2001,Pupils receiving Second Level Education (Number),197376
All Counties,Secondary schools,2002,Schools providing Second Level Education  (Number),416
All Counties,Secondary schools,2002,Pupils receiving Second Level Education (Number),192436
All Counties,Secondary schools,2003,Schools providing Second Level Education  (Number),410
All Counties,Secondary schools,2003,Pupils receiving Second Level Education (Number),189093
All Counties,Secondary schools,2004,Schools providing Second Level Education  (Number),406
All Counties,Secondary schools,2004,Pupils receiving Second Level Education (Number),187563
All Counties,Secondary schools,2005,Schools providing Second Level Education  (Number),403
All Counties,Secondary schools,2005,Pupils receiving Second Level Education (Number),185026
All Counties,Secondary schools,2006,Schools providing Second Level Education  (Number),398
All Counties,Secondary schools,2006,Pupils receiving Second Level Education (Number),183766
All Counties,Secondary schools,2007,Schools providing Second Level Education  (Number),394
All Counties,Secondary schools,2007,Pupils receiving Second Level Education (Number),183721
All Counties,Secondary schools,2008,Schools providing Second Level Education  (Number),389
All Counties,Secondary schools,2008,Pupils receiving Second Level Education (Number),183358
All Counties,Secondary schools,2009,Schools providing Second Level Education  (Number),388
All Counties,Secondary schools,2009,Pupils receiving Second Level Education (Number),184329
All Counties,Secondary schools,2010,Schools providing Second Level Education  (Number),384
All Counties,Secondary schools,2010,Pupils receiving Second Level Education (Number),185006
All Counties,Secondary schools,2011,Schools providing Second Level Education  (Number),383
All Counties,Secondary schools,2011,Pupils receiving Second Level Education (Number),186622
All Counties,Secondary schools,2012,Schools providing Second Level Education  (Number),376
All Counties,Secondary schools,2012,Pupils receiving Second Level Education (Number),186409
All Counties,Secondary schools,2013,Schools providing Second Level Education  (Number),375
All Counties,Secondary schools,2013,Pupils receiving Second Level Education (Number),187709
All Counties,Secondary schools,2014,Schools providing Second Level Education  (Number),373
All Counties,Secondary schools,2014,Pupils receiving Second Level Education (Number),189446
All Counties,Secondary schools,2015,Schools providing Second Level Education  (Number),375
All Counties,Secondary schools,2015,Pupils receiving Second Level Education (Number),191144
All Counties,Secondary schools,2016,Schools providing Second Level Education  (Number),375
All Counties,Secondary schools,2016,Pupils receiving Second Level Education (Number),193359
All Counties,Secondary schools,2017,Schools providing Second Level Education  (Number),374
All Counties,Secondary schools,2017,Pupils receiving Second Level Education (Number),194879
All Counties,Secondary schools,2018,Schools providing Second Level Education  (Number),374
All Counties,Secondary schools,2018,Pupils receiving Second Level Education (Number),197200
All Counties,Secondary schools,2019,Schools providing Second Level Education  (Number),378
All Counties,Secondary schools,2019,Pupils receiving Second Level Education (Number),198839
All Counties,Secondary schools,2020,Schools providing Second Level Education  (Number),381
All Counties,Secondary schools,2020,Pupils receiving Second Level Education (Number),201778
All Counties,Vocational schools,2000,Schools providing Second Level Education  (Number),245
All Counties,Vocational schools,2000,Pupils receiving Second Level Education (Number),98451
All Counties,Vocational schools,2001,Schools providing Second Level Education  (Number),247
All Counties,Vocational schools,2001,Pupils receiving Second Level Education (Number),96842
All Counties,Vocational schools,2002,Schools providing Second Level Education  (Number),247
All Counties,Vocational schools,2002,Pupils receiving Second Level Education (Number),96467
All Counties,Vocational schools,2003,Schools providing Second Level Education  (Number),247
All Counties,Vocational schools,2003,Pupils receiving Second Level Education (Number),98233
All Counties,Vocational schools,2004,Schools providing Second Level Education  (Number),247
All Counties,Vocational schools,2004,Pupils receiving Second Level Education (Number),98134
All Counties,Vocational schools,2005,Schools providing Second Level Education  (Number),247
All Counties,Vocational schools,2005,Pupils receiving Second Level Education (Number),97693
All Counties,Vocational schools,2006,Schools providing Second Level Education  (Number),247
All Counties,Vocational schools,2006,Pupils receiving Second Level Education (Number),96903
All Counties,Vocational schools,2007,Schools providing Second Level Education  (Number),247
All Counties,Vocational schools,2007,Pupils receiving Second Level Education (Number),97681
All Counties,Vocational schools,2008,Schools providing Second Level Education  (Number),251
All Counties,Vocational schools,2008,Pupils receiving Second Level Education (Number),98972
All Counties,Vocational schools,2009,Schools providing Second Level Education  (Number),253
All Counties,Vocational schools,2009,Pupils receiving Second Level Education (Number),103732
All Counties,Vocational schools,2010,Schools providing Second Level Education  (Number),254
All Counties,Vocational schools,2010,Pupils receiving Second Level Education (Number),111256
All Counties,Vocational schools,2011,Schools providing Second Level Education  (Number),254
All Counties,Vocational schools,2011,Pupils receiving Second Level Education (Number),114761
All Counties,Vocational schools,2012,Schools providing Second Level Education  (Number),254
All Counties,Vocational schools,2012,Pupils receiving Second Level Education (Number),116839
All Counties,Vocational schools,2013,Schools providing Second Level Education  (Number),253
All Counties,Vocational schools,2013,Pupils receiving Second Level Education (Number),118860
All Counties,Vocational schools,2014,Schools providing Second Level Education  (Number),256
All Counties,Vocational schools,2014,Pupils receiving Second Level Education (Number),120473
All Counties,Vocational schools,2015,Schools providing Second Level Education  (Number),262
All Counties,Vocational schools,2015,Pupils receiving Second Level Education (Number),123078
All Counties,Vocational schools,2016,Schools providing Second Level Education  (Number),265
All Counties,Vocational schools,2016,Pupils receiving Second Level Education (Number),125735
All Counties,Vocational schools,2017,Schools providing Second Level Education  (Number),241
All Counties,Vocational schools,2017,Pupils receiving Second Level Education (Number),97741
All Counties,Vocational schools,2018,Schools providing Second Level Education  (Number),245
All Counties,Vocational schools,2018,Pupils receiving Second Level Education (Number),100311
All Counties,Vocational schools,2019,Schools providing Second Level Education  (Number),248
All Counties,Vocational schools,2019,Pupils receiving Second Level Education (Number),103504
All Counties,Vocational schools,2020,Schools providing Second Level Education  (Number),246
All Counties,Vocational schools,2020,Pupils receiving Second Level Education (Number),108303
All Counties,Community schools,2000,Schools providing Second Level Education  (Number),67
All Counties,Community schools,2000,Pupils receiving Second Level Education (Number),43585
All Counties,Community schools,2001,Schools providing Second Level Education  (Number),69
All Counties,Community schools,2001,Pupils receiving Second Level Education (Number),42908
All Counties,Community schools,2002,Schools providing Second Level Education  (Number),71
All Counties,Community schools,2002,Pupils receiving Second Level Education (Number),42951
All Counties,Community schools,2003,Schools providing Second Level Education  (Number),73
All Counties,Community schools,2003,Pupils receiving Second Level Education (Number),43748
All Counties,Community schools,2004,Schools providing Second Level Education  (Number),74
All Counties,Community schools,2004,Pupils receiving Second Level Education (Number),44035
All Counties,Community schools,2005,Schools providing Second Level Education  (Number),76
All Counties,Community schools,2005,Pupils receiving Second Level Education (Number),44311
All Counties,Community schools,2006,Schools providing Second Level Education  (Number),76
All Counties,Community schools,2006,Pupils receiving Second Level Education (Number),43753
All Counties,Community schools,2007,Schools providing Second Level Education  (Number),77
All Counties,Community schools,2007,Pupils receiving Second Level Education (Number),44430
All Counties,Community schools,2008,Schools providing Second Level Education  (Number),77
All Counties,Community schools,2008,Pupils receiving Second Level Education (Number),45063
All Counties,Community schools,2009,Schools providing Second Level Education  (Number),77
All Counties,Community schools,2009,Pupils receiving Second Level Education (Number),45497
All Counties,Community schools,2010,Schools providing Second Level Education  (Number),78
All Counties,Community schools,2010,Pupils receiving Second Level Education (Number),46733
All Counties,Community schools,2011,Schools providing Second Level Education  (Number),78
All Counties,Community schools,2011,Pupils receiving Second Level Education (Number),47058
All Counties,Community schools,2012,Schools providing Second Level Education  (Number),79
All Counties,Community schools,2012,Pupils receiving Second Level Education (Number),48113
All Counties,Community schools,2013,Schools providing Second Level Education  (Number),79
All Counties,Community schools,2013,Pupils receiving Second Level Education (Number),48555
All Counties,Community schools,2014,Schools providing Second Level Education  (Number),80
All Counties,Community schools,2014,Pupils receiving Second Level Education (Number),49449
All Counties,Community schools,2015,Schools providing Second Level Education  (Number),81
All Counties,Community schools,2015,Pupils receiving Second Level Education (Number),50197
All Counties,Community schools,2016,Schools providing Second Level Education  (Number),80
All Counties,Community schools,2016,Pupils receiving Second Level Education (Number),51073
All Counties,Community schools,2017,Schools providing Second Level Education  (Number),82
All Counties,Community schools,2017,Pupils receiving Second Level Education (Number),51831
All Counties,Community schools,2018,Schools providing Second Level Education  (Number),82
All Counties,Community schools,2018,Pupils receiving Second Level Education (Number),52159
All Counties,Community schools,2019,Schools providing Second Level Education  (Number),82
All Counties,Community schools,2019,Pupils receiving Second Level Education (Number),52839
All Counties,Community schools,2020,Schools providing Second Level Education  (Number),82
All Counties,Community schools,2020,Pupils receiving Second Level Education (Number),53660
All Counties,Comprehensive schools,2000,Schools providing Second Level Education  (Number),16
All Counties,Comprehensive schools,2000,Pupils receiving Second Level Education (Number),8406
All Counties,Comprehensive schools,2001,Schools providing Second Level Education  (Number),16
All Counties,Comprehensive schools,2001,Pupils receiving Second Level Education (Number),8258
All Counties,Comprehensive schools,2002,Schools providing Second Level Education  (Number),16
All Counties,Comprehensive schools,2002,Pupils receiving Second Level Education (Number),8224
All Counties,Comprehensive schools,2003,Schools providing Second Level Education  (Number),16
All Counties,Comprehensive schools,2003,Pupils receiving Second Level Education (Number),8157
All Counties,Comprehensive schools,2004,Schools providing Second Level Education  (Number),16
All Counties,Comprehensive schools,2004,Pupils receiving Second Level Education (Number),8119
All Counties,Comprehensive schools,2005,Schools providing Second Level Education  (Number),16
All Counties,Comprehensive schools,2005,Pupils receiving Second Level Education (Number),8132
All Counties,Comprehensive schools,2006,Schools providing Second Level Education  (Number),14
All Counties,Comprehensive schools,2006,Pupils receiving Second Level Education (Number),7985
All Counties,Comprehensive schools,2007,Schools providing Second Level Education  (Number),14
All Counties,Comprehensive schools,2007,Pupils receiving Second Level Education (Number),7886
All Counties,Comprehensive schools,2008,Schools providing Second Level Education  (Number),14
All Counties,Comprehensive schools,2008,Pupils receiving Second Level Education (Number),7730
All Counties,Comprehensive schools,2009,Schools providing Second Level Education  (Number),14
All Counties,Comprehensive schools,2009,Pupils receiving Second Level Education (Number),7754
All Counties,Comprehensive schools,2010,Schools providing Second Level Education  (Number),14
All Counties,Comprehensive schools,2010,Pupils receiving Second Level Education (Number),7692
All Counties,Comprehensive schools,2011,Schools providing Second Level Education  (Number),14
All Counties,Comprehensive schools,2011,Pupils receiving Second Level Education (Number),7666
All Counties,Comprehensive schools,2012,Schools providing Second Level Education  (Number),14
All Counties,Comprehensive schools,2012,Pupils receiving Second Level Education (Number),7686
All Counties,Comprehensive schools,2013,Schools providing Second Level Education  (Number),14
All Counties,Comprehensive schools,2013,Pupils receiving Second Level Education (Number),7723
All Counties,Comprehensive schools,2014,Schools providing Second Level Education  (Number),14
All Counties,Comprehensive schools,2014,Pupils receiving Second Level Education (Number),7810
All Counties,Comprehensive schools,2015,Schools providing Second Level Education  (Number),14
All Counties,Comprehensive schools,2015,Pupils receiving Second Level Education (Number),7877
All Counties,Comprehensive schools,2016,Schools providing Second Level Education  (Number),14
All Counties,Comprehensive schools,2016,Pupils receiving Second Level Education (Number),7836
All Counties,Comprehensive schools,2017,Schools providing Second Level Education  (Number),14
All Counties,Comprehensive schools,2017,Pupils receiving Second Level Education (Number),7806
All Counties,Comprehensive schools,2018,Schools providing Second Level Education  (Number),14
All Counties,Comprehensive schools,2018,Pupils receiving Second Level Education (Number),7738
All Counties,Comprehensive schools,2019,Schools providing Second Level Education  (Number),14
All Counties,Comprehensive schools,2019,Pupils receiving Second Level Education (Number),7717
All Counties,Comprehensive schools,2020,Schools providing Second Level Education  (Number),14
All Counties,Comprehensive schools,2020,Pupils receiving Second Level Education (Number),7709
Carlow,Second level education institutions aided by the Department of Education and Skills,2000,Schools providing Second Level Education  (Number),11
Carlow,Second level education institutions aided by the Department of Education and Skills,2000,Pupils receiving Second Level Education (Number),5486
Carlow,Second level education institutions aided by the Department of Education and Skills,2001,Schools providing Second Level Education  (Number),11
Carlow,Second level education institutions aided by the Department of Education and Skills,2001,Pupils receiving Second Level Education (Number),5357
Carlow,Second level education institutions aided by the Department of Education and Skills,2002,Schools providing Second Level Education  (Number),11
Carlow,Second level education institutions aided by the Department of Education and Skills,2002,Pupils receiving Second Level Education (Number),5413
Carlow,Second level education institutions aided by the Department of Education and Skills,2003,Schools providing Second Level Education  (Number),11
Carlow,Second level education institutions aided by the Department of Education and Skills,2003,Pupils receiving Second Level Education (Number),5426
Carlow,Second level education institutions aided by the Department of Education and Skills,2004,Schools providing Second Level Education  (Number),11
Carlow,Second level education institutions aided by the Department of Education and Skills,2004,Pupils receiving Second Level Education (Number),5471
Carlow,Second level education institutions aided by the Department of Education and Skills,2005,Schools providing Second Level Education  (Number),11
Carlow,Second level education institutions aided by the Department of Education and Skills,2005,Pupils receiving Second Level Education (Number),5471
Carlow,Second level education institutions aided by the Department of Education and Skills,2006,Schools providing Second Level Education  (Number),11
Carlow,Second level education institutions aided by the Department of Education and Skills,2006,Pupils receiving Second Level Education (Number),5486
Carlow,Second level education institutions aided by the Department of Education and Skills,2007,Schools providing Second Level Education  (Number),11
Carlow,Second level education institutions aided by the Department of Education and Skills,2007,Pupils receiving Second Level Education (Number),5548
Carlow,Second level education institutions aided by the Department of Education and Skills,2008,Schools providing Second Level Education  (Number),11
Carlow,Second level education institutions aided by the Department of Education and Skills,2008,Pupils receiving Second Level Education (Number),5505
Carlow,Second level education institutions aided by the Department of Education and Skills,2009,Schools providing Second Level Education  (Number),11
Carlow,Second level education institutions aided by the Department of Education and Skills,2009,Pupils receiving Second Level Education (Number),5619
Carlow,Second level education institutions aided by the Department of Education and Skills,2010,Schools providing Second Level Education  (Number),11
Carlow,Second level education institutions aided by the Department of Education and Skills,2010,Pupils receiving Second Level Education (Number),5741
Carlow,Second level education institutions aided by the Department of Education and Skills,2011,Schools providing Second Level Education  (Number),11
Carlow,Second level education institutions aided by the Department of Education and Skills,2011,Pupils receiving Second Level Education (Number),5724
Carlow,Second level education institutions aided by the Department of Education and Skills,2012,Schools providing Second Level Education  (Number),11
Carlow,Second level education institutions aided by the Department of Education and Skills,2012,Pupils receiving Second Level Education (Number),5757
Carlow,Second level education institutions aided by the Department of Education and Skills,2013,Schools providing Second Level Education  (Number),11
Carlow,Second level education institutions aided by the Department of Education and Skills,2013,Pupils receiving Second Level Education (Number),5856
Carlow,Second level education institutions aided by the Department of Education and Skills,2014,Schools providing Second Level Education  (Number),11
Carlow,Second level education institutions aided by the Department of Education and Skills,2014,Pupils receiving Second Level Education (Number),5855
Carlow,Second level education institutions aided by the Department of Education and Skills,2015,Schools providing Second Level Education  (Number),11
Carlow,Second level education institutions aided by the Department of Education and Skills,2015,Pupils receiving Second Level Education (Number),6053
Carlow,Second level education institutions aided by the Department of Education and Skills,2016,Schools providing Second Level Education  (Number),11
Carlow,Second level education institutions aided by the Department of Education and Skills,2016,Pupils receiving Second Level Education (Number),6192
Carlow,Second level education institutions aided by the Department of Education and Skills,2017,Schools providing Second Level Education  (Number),11
Carlow,Second level education institutions aided by the Department of Education and Skills,2017,Pupils receiving Second Level Education (Number),5490
Carlow,Second level education institutions aided by the Department of Education and Skills,2018,Schools providing Second Level Education  (Number),12
Carlow,Second level education institutions aided by the Department of Education and Skills,2018,Pupils receiving Second Level Education (Number),5572
Carlow,Second level education institutions aided by the Department of Education and Skills,2019,Schools providing Second Level Education  (Number),12
Carlow,Second level education institutions aided by the Department of Education and Skills,2019,Pupils receiving Second Level Education (Number),5764
Carlow,Second level education institutions aided by the Department of Education and Skills,2020,Schools providing Second Level Education  (Number),11
Carlow,Second level education institutions aided by the Department of Education and Skills,2020,Pupils receiving Second Level Education (Number),5957
Carlow,Secondary schools,2000,Schools providing Second Level Education  (Number),5
Carlow,Secondary schools,2000,Pupils receiving Second Level Education (Number),2749
Carlow,Secondary schools,2001,Schools providing Second Level Education  (Number),5
Carlow,Secondary schools,2001,Pupils receiving Second Level Education (Number),2630
Carlow,Secondary schools,2002,Schools providing Second Level Education  (Number),5
Carlow,Secondary schools,2002,Pupils receiving Second Level Education (Number),2618
Carlow,Secondary schools,2003,Schools providing Second Level Education  (Number),5
Carlow,Secondary schools,2003,Pupils receiving Second Level Education (Number),2594
Carlow,Secondary schools,2004,Schools providing Second Level Education  (Number),5
Carlow,Secondary schools,2004,Pupils receiving Second Level Education (Number),2629
Carlow,Secondary schools,2005,Schools providing Second Level Education  (Number),5
Carlow,Secondary schools,2005,Pupils receiving Second Level Education (Number),2647
Carlow,Secondary schools,2006,Schools providing Second Level Education  (Number),5
Carlow,Secondary schools,2006,Pupils receiving Second Level Education (Number),2681
Carlow,Secondary schools,2007,Schools providing Second Level Education  (Number),5
Carlow,Secondary schools,2007,Pupils receiving Second Level Education (Number),2771
Carlow,Secondary schools,2008,Schools providing Second Level Education  (Number),5
Carlow,Secondary schools,2008,Pupils receiving Second Level Education (Number),2727
Carlow,Secondary schools,2009,Schools providing Second Level Education  (Number),5
Carlow,Secondary schools,2009,Pupils receiving Second Level Education (Number),2730
Carlow,Secondary schools,2010,Schools providing Second Level Education  (Number),5
Carlow,Secondary schools,2010,Pupils receiving Second Level Education (Number),2740
Carlow,Secondary schools,2011,Schools providing Second Level Education  (Number),5
Carlow,Secondary schools,2011,Pupils receiving Second Level Education (Number),2737
Carlow,Secondary schools,2012,Schools providing Second Level Education  (Number),5
Carlow,Secondary schools,2012,Pupils receiving Second Level Education (Number),2770
Carlow,Secondary schools,2013,Schools providing Second Level Education  (Number),5
Carlow,Secondary schools,2013,Pupils receiving Second Level Education (Number),2847
Carlow,Secondary schools,2014,Schools providing Second Level Education  (Number),5
Carlow,Secondary schools,2014,Pupils receiving Second Level Education (Number),2936
Carlow,Secondary schools,2015,Schools providing Second Level Education  (Number),5
Carlow,Secondary schools,2015,Pupils receiving Second Level Education (Number),3103
Carlow,Secondary schools,2016,Schools providing Second Level Education  (Number),5
Carlow,Secondary schools,2016,Pupils receiving Second Level Education (Number),3280
Carlow,Secondary schools,2017,Schools providing Second Level Education  (Number),5
Carlow,Secondary schools,2017,Pupils receiving Second Level Education (Number),3424
Carlow,Secondary schools,2018,Schools providing Second Level Education  (Number),5
Carlow,Secondary schools,2018,Pupils receiving Second Level Education (Number),3501
Carlow,Secondary schools,2019,Schools providing Second Level Education  (Number),5
Carlow,Secondary schools,2019,Pupils receiving Second Level Education (Number),3509
Carlow,Secondary schools,2020,Schools providing Second Level Education  (Number),5
Carlow,Secondary schools,2020,Pupils receiving Second Level Education (Number),3502
Carlow,Vocational schools,2000,Schools providing Second Level Education  (Number),5
Carlow,Vocational schools,2000,Pupils receiving Second Level Education (Number),1935
Carlow,Vocational schools,2001,Schools providing Second Level Education  (Number),5
Carlow,Vocational schools,2001,Pupils receiving Second Level Education (Number),1963
Carlow,Vocational schools,2002,Schools providing Second Level Education  (Number),5
Carlow,Vocational schools,2002,Pupils receiving Second Level Education (Number),2036
Carlow,Vocational schools,2003,Schools providing Second Level Education  (Number),5
Carlow,Vocational schools,2003,Pupils receiving Second Level Education (Number),2062
Carlow,Vocational schools,2004,Schools providing Second Level Education  (Number),5
Carlow,Vocational schools,2004,Pupils receiving Second Level Education (Number),2115
Carlow,Vocational schools,2005,Schools providing Second Level Education  (Number),5
Carlow,Vocational schools,2005,Pupils receiving Second Level Education (Number),2138
Carlow,Vocational schools,2006,Schools providing Second Level Education  (Number),5
Carlow,Vocational schools,2006,Pupils receiving Second Level Education (Number),2142
Carlow,Vocational schools,2007,Schools providing Second Level Education  (Number),5
Carlow,Vocational schools,2007,Pupils receiving Second Level Education (Number),2149
Carlow,Vocational schools,2008,Schools providing Second Level Education  (Number),5
Carlow,Vocational schools,2008,Pupils receiving Second Level Education (Number),2141
Carlow,Vocational schools,2009,Schools providing Second Level Education  (Number),5
Carlow,Vocational schools,2009,Pupils receiving Second Level Education (Number),2241
Carlow,Vocational schools,2010,Schools providing Second Level Education  (Number),5
Carlow,Vocational schools,2010,Pupils receiving Second Level Education (Number),2387
Carlow,Vocational schools,2011,Schools providing Second Level Education  (Number),5
Carlow,Vocational schools,2011,Pupils receiving Second Level Education (Number),2368
Carlow,Vocational schools,2012,Schools providing Second Level Education  (Number),5
Carlow,Vocational schools,2012,Pupils receiving Second Level Education (Number),2388
Carlow,Vocational schools,2013,Schools providing Second Level Education  (Number),5
Carlow,Vocational schools,2013,Pupils receiving Second Level Education (Number),2386
Carlow,Vocational schools,2014,Schools providing Second Level Education  (Number),5
Carlow,Vocational schools,2014,Pupils receiving Second Level Education (Number),2302
Carlow,Vocational schools,2015,Schools providing Second Level Education  (Number),5
Carlow,Vocational schools,2015,Pupils receiving Second Level Education (Number),2295
Carlow,Vocational schools,2016,Schools providing Second Level Education  (Number),5
Carlow,Vocational schools,2016,Pupils receiving Second Level Education (Number),2279
Carlow,Vocational schools,2017,Schools providing Second Level Education  (Number),5
Carlow,Vocational schools,2017,Pupils receiving Second Level Education (Number),1457
Carlow,Vocational schools,2018,Schools providing Second Level Education  (Number),6
Carlow,Vocational schools,2018,Pupils receiving Second Level Education (Number),1440
Carlow,Vocational schools,2019,Schools providing Second Level Education  (Number),6
Carlow,Vocational schools,2019,Pupils receiving Second Level Education (Number),1590
Carlow,Vocational schools,2020,Schools providing Second Level Education  (Number),5
Carlow,Vocational schools,2020,Pupils receiving Second Level Education (Number),1748
Carlow,Community schools,2000,Schools providing Second Level Education  (Number),1
Carlow,Community schools,2000,Pupils receiving Second Level Education (Number),802
Carlow,Community schools,2001,Schools providing Second Level Education  (Number),1
Carlow,Community schools,2001,Pupils receiving Second Level Education (Number),764
Carlow,Community schools,2002,Schools providing Second Level Education  (Number),1
Carlow,Community schools,2002,Pupils receiving Second Level Education (Number),759
Carlow,Community schools,2003,Schools providing Second Level Education  (Number),1
Carlow,Community schools,2003,Pupils receiving Second Level Education (Number),770
Carlow,Community schools,2004,Schools providing Second Level Education  (Number),1
Carlow,Community schools,2004,Pupils receiving Second Level Education (Number),727
Carlow,Community schools,2005,Schools providing Second Level Education  (Number),1
Carlow,Community schools,2005,Pupils receiving Second Level Education (Number),686
Carlow,Community schools,2006,Schools providing Second Level Education  (Number),1
Carlow,Community schools,2006,Pupils receiving Second Level Education (Number),663
Carlow,Community schools,2007,Schools providing Second Level Education  (Number),1
Carlow,Community schools,2007,Pupils receiving Second Level Education (Number),628
Carlow,Community schools,2008,Schools providing Second Level Education  (Number),1
Carlow,Community schools,2008,Pupils receiving Second Level Education (Number),637
Carlow,Community schools,2009,Schools providing Second Level Education  (Number),1
Carlow,Community schools,2009,Pupils receiving Second Level Education (Number),648
Carlow,Community schools,2010,Schools providing Second Level Education  (Number),1
Carlow,Community schools,2010,Pupils receiving Second Level Education (Number),614
Carlow,Community schools,2011,Schools providing Second Level Education  (Number),1
Carlow,Community schools,2011,Pupils receiving Second Level Education (Number),619
Carlow,Community schools,2012,Schools providing Second Level Education  (Number),1
Carlow,Community schools,2012,Pupils receiving Second Level Education (Number),599
Carlow,Community schools,2013,Schools providing Second Level Education  (Number),1
Carlow,Community schools,2013,Pupils receiving Second Level Education (Number),623
Carlow,Community schools,2014,Schools providing Second Level Education  (Number),1
Carlow,Community schools,2014,Pupils receiving Second Level Education (Number),617
Carlow,Community schools,2015,Schools providing Second Level Education  (Number),1
Carlow,Community schools,2015,Pupils receiving Second Level Education (Number),655
Carlow,Community schools,2016,Schools providing Second Level Education  (Number),1
Carlow,Community schools,2016,Pupils receiving Second Level Education (Number),633
Carlow,Community schools,2017,Schools providing Second Level Education  (Number),1
Carlow,Community schools,2017,Pupils receiving Second Level Education (Number),609
Carlow,Community schools,2018,Schools providing Second Level Education  (Number),1
Carlow,Community schools,2018,Pupils receiving Second Level Education (Number),631
Carlow,Community schools,2019,Schools providing Second Level Education  (Number),1
Carlow,Community schools,2019,Pupils receiving Second Level Education (Number),665
Carlow,Community schools,2020,Schools providing Second Level Education  (Number),1
Carlow,Community schools,2020,Pupils receiving Second Level Education (Number),707
Carlow,Comprehensive schools,2000,Schools providing Second Level Education  (Number),n/a
